Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Dear Zindagi,tt5946128,23 Nov 2016,"Drama, Romance","Alia Bhatt, Shah Rukh Khan, Kunal Kapoor","Krishnan Hariharan, Kausar Munir, Gauri Shinde",Gauri Shinde,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imper...",7.4,"39,440"
Don,tt0461936,20 Oct 2006,"Action, Crime, Thriller","Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal","Salim Khan, Javed Akhtar, Farhan Akhtar",Farhan Akhtar,"Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",7.1,"36,926"
Happy New Year,tt2461132,24 Oct 2014,"Action, Comedy, Crime","Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan","Althea Kaushal, Farah Khan, Mayur Puri",Farah Khan,A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,5.3,"36,701"
Black,tt0375611,04 Feb 2005,Drama,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel","Sanjay Leela Bhansali, Bhavani Iyer, Prakash Kapadia",Sanjay Leela Bhansali,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",8.1,"34,737"
English Vinglish,tt2181931,05 Oct 2012,"Comedy, Drama, Family","Sridevi, Adil Hussain, Mehdi Nebbou",Gauri Shinde,Gauri Shinde,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",7.8,"35,912"
Race 3,tt7431594,15 Jun 2018,"Action, Crime, Thriller","Anil Kapoor, Salman Khan, Bobby Deol","Shiraz Ahmed, Kiran Kotrial, Ali Jacko",Remo D'Souza,Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,1.9,"45,999"
Paan Singh Tomar,tt1620933,02 Mar 2012,"Action, Biography, Crime","Irrfan Khan, Mahie Gill, Rajesh Abhay","Sanjay Chauhan, Tigmanshu Dhulia",Tigmanshu Dhulia,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",8.2,"35,950"
Main Hoon Na,tt0347473,30 Apr 2004,"Action, Comedy, Drama","Shah Rukh Khan, Sushmita Sen, Suniel Shetty","Farah Khan, Abbas Tyrewala, Rajesh Saathi",Farah Khan,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",7.0,"35,259"
Dilwale,tt4535650,18 Dec 2015,"Action, Comedy, Drama","Shah Rukh Khan, Kriti Sanon, Kajol","Yunus Sajawal, Farhad Samji, Sajid",Rohit Shetty,"The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",5.0,"34,377"
M.S. Dhoni: The Untold Story,tt4169250,30 Sep 2016,"Biography, Drama, Sport","Sushant Singh Rajput, Abhinay Raj Singh, Kiara Advani","Neeraj Pandey, Dilip Jha, Mohinder Pratap Singh",Neeraj Pandey,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,7.9,"53,892"
Fanaa,tt0439662,26 May 2006,"Action, Drama, Romance","Aamir Khan, Kajol, Rishi Kapoor","Shibani Bathija, Kunal Kohli",Kunal Kohli,A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,7.2,"32,606"
Bajirao Mastani,tt3735246,18 Dec 2015,"Action, Drama, History","Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas","Nagnath S. Inamdar, Sanjay Leela Bhansali, Prakash Kapadia",Sanjay Leela Bhansali,"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",7.2,"34,235"
Jodhaa Akbar,tt0449994,15 Feb 2008,"Action, Drama, History","Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood","Haidar Ali, Ashutosh Gowariker, K.P. Saxena",Ashutosh Gowariker,"A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.",7.5,"32,204"
Raanjhanaa,tt2359810,21 Jun 2013,"Drama, Romance","Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub",Himanshu Sharma,Aanand L. Rai,"Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",7.6,"32,264"
Ek Tha Tiger,tt2016894,15 Aug 2012,"Action, Adventure, Romance","Salman Khan, Katrina Kaif, Girish Karnad","Aditya Chopra, Kabir Khan, Neelesh Misra",Kabir Khan,India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,5.5,"34,095"
Talvar,tt4934950,02 Oct 2015,"Crime, Drama, Mystery","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi","Vishal Bhardwaj, Aditya Nimbalkar",Meghna Gulzar,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,8.1,"34,704"
Dabangg,tt1620719,10 Sep 2010,"Action, Comedy, Crime","Salman Khan, Sonakshi Sinha, Sonu Sood","Dilip Shukla, Abhinav Kashyap",Abhinav Kashyap,"A corrupt police officer faces challenges from his family, gangsters and politicians.",6.3,"32,231"
Piku,tt3767372,08 May 2015,"Comedy, Drama","Deepika Padukone, Amitabh Bachchan, Irrfan Khan",Juhi Chaturvedi,Shoojit Sircar,"A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.",7.6,"31,441"
Wake Up Sid,tt1324059,02 Oct 2009,"Comedy, Drama, Romance","Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak","Ayan Mukherjee, Niranjan Iyengar",Ayan Mukherjee,"The story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.",7.6,"30,830"
Mohabbatein,tt0213890,27 Oct 2000,"Musical, Drama, Romance","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra",Aditya Chopra,Aditya Chopra,"A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples.",7.0,"29,528"
Delhi Belly,tt1934231,01 Jul 2011,"Action, Comedy, Crime","Imran Khan, Vir Das, Kunaal Roy Kapur","Mr. Moris, Akshat Verma","Abhinay Deo, Akshat Verma",Three struggling room-mates unknowingly become potential prey of a ruthless gangster.,7.5,"29,692"
