Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Gori Tere Pyaar Mein,tt2275794,22 Nov 2013,"Comedy, Drama, Romance","Imran Khan, Kareena Kapoor, Sujata Kumar","Punit Malhotra, Arshad Syed",Punit Malhotra,Self-centered Sriram Venkat changes his outlook and actions when his girlfriend leaves him.,4.9,"3,845"
Hate Story,tt2309987,20 Apr 2012,"Drama, Thriller","Nikhil Dwivedi, Gulshan Devaiah, Paoli Dam","Vikram Bhatt, Rohit Malhotra",Vivek Agnihotri,"After a powerful businessman has her baby forcefully aborted, Kaavya Krishna uses her body as a sexual weapon to destroy his empire, brick by brick.",5.3,"3,709"
Shor in the City,tt1916728,28 Apr 2011,"Crime, Drama","Tusshar Kapoor, Sendhil Ramamurthy, Nikhil Dwivedi","Krishna D.K., Raj Nidimoru, Sita Menon","Krishna D.K., Raj Nidimoru",Various residents and career-criminals face challenges in crime-laden Mumbai.,7.2,"3,719"
Bawarchi,tt0068257,07 Jul 1972,"Comedy, Musical, Drama","Rajesh Khanna, Jaya Bachchan, Usha Kiran","Tapan Sinha, Hrishikesh Mukherjee, Gulzar",Hrishikesh Mukherjee,A dysfunctional middle-class family is transformed due to the influence of their new multi-talented household servant - but he might be too good to be true.,8.1,"4,008"
B.A. Pass,tt2408040,02 Aug 2013,"Crime, Drama, Thriller","Shadab Kamal, Shilpa Shukla, Rajesh Sharma",Ritesh Shah,Ajay Bahl,A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).,6.4,"3,973"
Ungli,tt2392447,28 Nov 2014,"Crime, Drama, Thriller","Sanjay Dutt, Shraddha Kapoor, Emraan Hashmi","Renzil D'Silva, Milap Zaveri",Renzil D'Silva,A gang of friends decide to take justice into their own hands.,5.8,"3,888"
Masoom,tt0085913,22 Oct 1983,Drama,"Naseeruddin Shah, Shabana Azmi, Jugal Hansraj",Gulzar,Shekhar Kapur,A happy family goes through turbulent times because of a big mistake by one of the family members.,8.4,"4,038"
I Am Kalam,tt1805263,05 Aug 2011,"Comedy, Drama, Family","Gulshan Grover, Harsh Mayar, Pitobash","Sanjay Chauhan, Protiqe Mojoomdar, Nila Madhab Panda",Nila Madhab Panda,An impoverished boy forms an unlikely and unstable friendship with the lonely son of a nobleman.,7.9,"4,213"
Awaara,tt0043306,07 Apr 1956,"Drama, Musical, Romance","Raj Kapoor, Nargis, Prithviraj Kapoor","Khwaja Ahmad Abbas, V.P. Sathe",Raj Kapoor,"A poor young man named Raj joins a criminal gang to feed his mother. But when he falls in love with Rita, he decides to reform himself for her.",7.8,"4,072"
Phillauri,tt5502766,24 Mar 2017,"Comedy, Drama, Fantasy","Anushka Sharma, Diljit Dosanjh, Suraj Sharma",Anvita Dutt,Anshai Lal,"A man must marry a tree to ward off threats to his love-life, but the tree turns out to have more spirit than the man bargained for.",6.0,"3,858"
A Flying Jatt,tt5235880,25 Aug 2016,"Action, Adventure, Comedy","Tiger Shroff, Jacqueline Fernandez, Nathan Jones","Remo D'Souza, Tushar Hiranandani, Aakash Kaushik",Remo D'Souza,"Jatt is a reluctant superhero who fights crime and protects people. He meets his match in the evil Raka, who he must vanquish to save the day.",3.1,"4,756"
Filmistaan,tt2417560,06 Jun 2014,Comedy,"Sharib Hashmi, Inaamulhaq, Kumud Mishra",Nitin Kakkar,Nitin Kakkar,"In Mumbai, affable Bollywood buff and wanna-be-actor Sunny, who works as an assistant director, fantasizes on becoming a heart-throb star. However, at every audition he is summarily thrown out. Undeterred, he goes with an American...",7.3,"3,489"
Haraamkhor,tt2361746,13 Jan 2017,"Drama, Romance","Nawazuddin Siddiqui, Shweta Tripathi, Trimala Adhikari",Shlok Sharma,Shlok Sharma,"A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires.",6.3,"4,081"
Happy Ending,tt3017412,21 Nov 2014,"Comedy, Romance","Saif Ali Khan, Ileana D'Cruz, Kalki Koechlin","Raj Nidimoru, Krishna D.K., Sita Menon","Krishna D.K., Raj Nidimoru",A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.,5.3,"3,584"
Garv: Pride & Honour,tt3017412,21 Nov 2014,"Comedy, Romance","Saif Ali Khan, Ileana D'Cruz, Kalki Koechlin","Raj Nidimoru, Krishna D.K., Sita Menon","Krishna D.K., Raj Nidimoru",A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.,5.3,"3,584"
Ramaiya Vastavaiya,tt2357926,19 Jul 2013,"Action, Drama, Romance","Shruti Haasan, Girish Taurani, Randhir Kapoor","Shiraz Ahmed, Veeru Potla",Prabhu Deva,"Ram falls in love with Sona, who lives on the fields of Punjab. He follows her to her farm, where her elder brother challenges him to produce more seed on their fields. If he wins, he will be allowed to marry her.",5.7,"3,818"
Dhanak,tt2357926,19 Jul 2013,"Action, Drama, Romance","Shruti Haasan, Girish Taurani, Randhir Kapoor","Shiraz Ahmed, Veeru Potla",Prabhu Deva,"Ram falls in love with Sona, who lives on the fields of Punjab. He follows her to her farm, where her elder brother challenges him to produce more seed on their fields. If he wins, he will be allowed to marry her.",5.7,"3,818"
